sro,page_p2,page_p4,serial,vcode,village_hi,pargana_hi,category,nonagri_lt9m,nonagri_9to12m,nonagri_12to18m,nonagri_ge18m,covered_ordinary,covered_premium,shop,office,godown,agri_nh,agri_state_district,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sadar2,58,143,127,0219,पेपर मिल,ward 026 निशातगंज,नगरीय क्षेत्र,27000,29000,30000,33000,30000,32500,70500,55000,44000,,,,,,,
sadar2,58,143,128,0399,पेपर मिल कालोनी,ward 042 पेपर मिल,नगरीय क्षेत्र,27000,29000,30000,33000,30000,32500,70500,55000,44000,,,,,,,
sadar2,59,143,129,0291,फोरसिक रोड,ward 031 जगदीश चन्द्र बोस मार्ग,नगरीय क्षेत्र,13000,14000,15000,17000,30000,32500,55000,44000,35000,,,,,,,
sadar2,59,143,130,0338,फैजाबाद रोड पूर्वी (चिनहट तक),ward 035 काल्विन कालेज,नगरीय क्षेत्र,40000,41000,45000,66000,30000,32500,98000,77000,61500,,,,,,,p4: name cut off in print; >18m jump 66000 clearly printed
sadar2,59,144,131,0357,फतेहगंज,ward 036 अमीनाबाद,नगरीय क्षेत्र,16500,18000,18500,20000,30000,32500,61500,49500,39500,,,,,,,
sadar2,59,144,132,0223,फैजाबाद रोड,ward 026 निशातगंज,नगरीय क्षेत्र,40000,45500,66000,72500,30000,32500,70500,55000,44000,,,,,,,p4: 12-18m jump 66000 clearly printed
sadar2,59,144,133,0378,फूलबाग,ward 039 नजरबाग,नगरीय क्षेत्र,13000,14000,15000,17000,30000,32500,53000,41500,33000,,,,,,,
sadar2,59,144,134,0388,बशीरतगंज,ward 041 बशीरतगंज,नगरीय क्षेत्र,13000,14000,15000,17000,30000,32500,53000,41500,33000,,,,,,,
sadar2,59,144,135,0232,बेलहा,ward 027 राजीव गांधी,नगरीय क्षेत्र,10000,16500,17500,19000,30000,32500,48500,38500,33000,,,,,,,
sadar2,60,145,136,0231,बेहमन पुरवा,ward 027 राजीव गांधी,नगरीय क्षेत्र,10000,16500,17500,19000,30000,32500,48500,38500,33000,,,,,,,
sadar2,60,145,137,0382,बौरूनी खन्दक,ward 040 शिवाजी मार्ग,नगरीय क्षेत्र,13000,14000,15000,17000,30000,32500,53000,44000,38500,,,,,,,
sadar2,60,145,138,1106,बंशीगढ़ी,ward 111 लखनऊ,अर्द्धनगरीय,2500,2800,3100,3500,22000,24000,23000,22000,20500,,88,80,,88,63,
sadar2,60,145,139,1060,बाघामऊ,ward 111 लखनऊ,नगरीय क्षेत्र,5000,5500,6000,6500,25000,27500,30500,26000,25000,,177,158,,177,127,duplicate serial 139 printed; p4: vcode 1060 printed on two rows; office 26000 clearly printed
sadar2,60,145,139,1060,बाघामऊ (शालीमार वन वर्ल्ड),लखनऊ,नगरीय क्षेत्र,50000,55000,60500,67000,31000,34000,55000,46000,39500,,,,,,,duplicate serial 139 printed (2nd row); ward no. blank in scan; p4: vcode 1060 printed on two rows
