sro,page,serial,vcode,village_hi,ward_hi,category,nonagri_lt9m,nonagri_9to18m,nonagri_ge18m,shop,office,godown,agri_nh,agri_state,agri_link,agri_chakmarg,agri_abadi,agri_general,flag
sadar,093,303,,बरगदहिया,बरहटा मांझा,नगरीय,8500,9400,10500,42900,38900,34800,,,,,,,
sadar,093,304,,बरवारी टोला,अवध खास,नगरीय,8600,9500,10500,43300,39300,35200,,,,,,,
sadar,093,305,,बरहटा उपरहार,हवेली अवध,नगरीय,8900,9800,10800,44800,40800,36700,253,209,188,184,253,114,
sadar,093,306,,बरहटा मांझा,हवेली अवध,अर्द्धनगरीय,7200,7600,8100,42700,38700,34600,221,180,162,158,221,98,
sadar,093,307,,बल्ला हाता,झारखण्डी,नगरीय,11600,14200,15100,52800,48800,44700,,,,,,,
sadar,093,308,,बसंत अली का हाता,फतेहगंज,नगरीय,11400,12600,12900,50100,46100,42000,,,,,,,
sadar,093,309,,बहादुरगंज,बहादुरगंज,नगरीय,11500,13600,14200,51500,47500,43400,,,,,,,
sadar,093,310,,बहारगंज,अमानीगंज,नगरीय,12300,13500,14400,52200,48200,44100,,,,,,,
sadar,093,311,,बहू बाजार,मीरापुर डेरा बीबी,नगरीय,8600,9500,10500,43300,39300,35200,,,,,,,
sadar,093,312,,बहेलिया टोला (अवधखास),अवध खास,नगरीय,8600,9500,10500,43300,39300,35200,,,,,,,
sadar,093,313,,बहेलिया टोला (हैदरगंज),हैदरगंज,नगरीय,8900,9800,10800,46700,42700,38600,,,,,,,
sadar,093,314,,बहोरनपुर,हवेली अवध,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,093,315,,बाग फरहदबक्श,हवेली अवध,नगरीय,8600,9500,10500,43300,39300,35200,,,,,,,
sadar,093,316,,बाग बिजैसी,हवेली अवध,नगरीय,8600,9500,10500,43300,39300,35200,244,200,179,175,244,110,
sadar,093,317,,बाजार मिर्जा अली बेग,दिल्ली दरवाजा,नगरीय,8900,9800,10800,52200,48200,44100,,,,,,,
sadar,093,318,,बाबू बाजार,देवकाली,नगरीय,12200,13300,14200,50700,46700,42600,,,,,,,
sadar,093,319,,बारा पत्थर,कन्धारी बाजार,नगरीय,11200,13600,14700,52600,48600,44500,,,,,,,
sadar,094,320,,बालकराम कालोनी,नियावां,नगरीय,11600,13600,14200,51500,47500,43400,,,,,,,
sadar,094,321,,बाल्दा,साहबगंज,नगरीय,11200,13300,13900,51500,47500,43400,,,,,,,
sadar,094,322,,बासूपुरसिरसा जयसिंह,हवेली अवध,नगरीय,8800,9700,10800,43100,39100,35000,253,209,188,184,253,114,
sadar,094,323,,बिरौली,हवेली अवध,अर्द्धनगरीय,4200,4500,4800,36800,32800,28700,63,51,43,42,63,29,
sadar,094,324,,बीकापुर,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,094,325,,बीरशाह पुर,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,094,326,,बुचनीगंज,सहादतगंज,नगरीय,9100,10400,11200,47800,43800,39700,,,,,,,
sadar,094,327,,बेगमगंज गढ़ैया,बेगमगंज गढ़ैया,नगरीय,8800,9700,10800,46700,42700,38600,,,,,,,
sadar,094,328,,बेगमगंज मकबरा,दालमण्डी,नगरीय,11500,16300,19600,58900,54900,50800,,,,,,,
sadar,094,329,,बेगमपुरा,अवध खास,नगरीय,8600,9500,10500,43300,39300,35200,,,,,,,
sadar,094,330,,बेगमागंज मांझा,अमसिन,ग्रामीण,1800,2000,2300,32300,28800,25300,25,20,19,18,25,13,
sadar,094,331,,बेनवा,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,094,332,,बेनीगंज,अमानीगंज,नगरीय,11200,13300,13900,51500,47500,43400,,,,,,,
sadar,094,333,,बेनीपुर,हवेली अवध,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,094,334,,बेरा,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,094,335,,बेलवारी खान,अमसिन,ग्रामीण,3600,3900,4600,35300,31800,28300,101,84,78,75,101,46,
sadar,094,336,,बैराक पुरा,बरहटा उपरहार,नगरीय,8600,9500,10500,43300,39300,35200,,,,,,,
sadar,094,337,,बैसिंह,हवेली अवध,अधिसूचित,2300,2600,3300,35500,31800,27700,65,53,45,43,65,30,
sadar,094,338,,बैहारी,अमसिन,ग्रामीण,2400,2600,3100,32900,29400,25900,64,51,45,44,64,29,
sadar,094,339,,बोधीपुर,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
sadar,094,340,,ब्रहम कुण्ड,अवध खास,नगरीय,8600,9500,10500,43300,39300,35200,,,,,,,
sadar,094,341,,ब्राहमण टोला,जनौरा,नगरीय,10800,11600,12100,48000,44000,39900,,,,,,,
sadar,094,342,,भगवाभीट,हवेली अवध,अधिसूचित,2600,2800,3400,35500,31800,27700,69,55,49,47,69,31,
sadar,094,343,,भदोखर,हवेली अवध,अर्द्धनगरीय,4200,4500,4800,36800,32800,28700,63,51,43,42,63,29,
sadar,094,344,,भदौली खुर्द,अमसिन,ग्रामीण,2100,2400,3000,32900,29400,25900,60,49,41,40,60,28,
